Timestamp                       Thread     Type        Activity             PID    TTL  
2026-02-21 01:06:37.482971+0800 0x4c71a3   Activity    0x13ced31            54291  0    FlappyBird: (RunningBoardServices) didChangeInheritances
2026-02-21 01:06:37.483034+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.workspace-service
2026-02-21 01:06:37.483338+0800 0x4c71a1   Default     0x0                  54291  0    FlappyBird: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
2026-02-21 01:06:37.483360+0800 0x4c71a1   Default     0x0                  54291  0    FlappyBird: (RunningBoardServices) [com.apple.runningboard:connection] Identity resolved as app<com.example.FlappyBird((null))>
2026-02-21 01:06:37.483368+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace registering source: com.apple.frontboard.systemappservices
2026-02-21 01:06:37.483615+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x600002100af0>
2026-02-21 01:06:37.483672+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <_UIBackgroundTaskInfo: 0x600001701380>: taskID = 1, taskName = Launch Background Task for Coalescing, creationTime = 284089 (elapsed = 0).
2026-02-21 01:06:37.483755+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UIApplicationSceneKeyboardSettings on FBSSceneSettings
2026-02-21 01:06:37.484451+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace connected to endpoint : <BSServiceConnectionEndpoint: 0x600000205ce0; target: com.apple.frontboard.systemappservices; service: com.apple.frontboard.workspace-service>
2026-02-21 01:06:37.484453+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneOcclusionSettings> on FBSSceneSettings
2026-02-21 01:06:37.484565+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x60000300c510 com.apple.frontboard.systemappservices> attempting immediate handshake from activate
2026-02-21 01:06:37.484640+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x60000300c510 com.apple.frontboard.systemappservices> sent handshake
2026-02-21 01:06:37.484668+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneInterfaceProtectionSettings> on FBSSceneSettings
2026-02-21 01:06:37.484773+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (RunningBoardServices) [com.apple.runningboard:general] Added observer for process assertions expiration warning: <_RBSExpirationWarningClient: 0x60000020d880>
2026-02-21 01:06:37.484913+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneLayoutPreferencesHostSettingsExtension on FBSSceneSettings
2026-02-21 01:06:37.484995+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneSafeAreaSettingsExtension on FBSSceneSettings
2026-02-21 01:06:37.485311+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneLayoutPreferenceClientSettingsExtension on FBSSceneClientSettings
2026-02-21 01:06:37.485528+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UIHomeAffordanceHostSceneSettings> on FBSSceneSettings
2026-02-21 01:06:37.485663+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISystemShellSceneHostingEnvironmentSettings on FBSSceneSettings
2026-02-21 01:06:37.485863+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneRenderingEnvironmentSettings on FBSSceneSettings
2026-02-21 01:06:37.485996+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneRenderingEnvironmentClientSettings> on FBSSceneClientSettings
2026-02-21 01:06:37.486153+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneTransitioningHostSettings> on FBSSceneSettings
2026-02-21 01:06:37.486328+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneFocusSystemSettings> on FBSSceneSettings
2026-02-21 01:06:37.486489+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneOrientationSettingsExtension on FBSSceneSettings
2026-02-21 01:06:37.486544+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneOrientationClientSettingsExtension on FBSSceneClientSettings
2026-02-21 01:06:37.486705+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneWindowingControlClientSettings on FBSSceneClientSettings
2026-02-21 01:06:37.486931+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingContentSizePreferenceClientSettings> on FBSSceneClientSettings
2026-02-21 01:06:37.487097+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneHostingTraitCollectionPropagationSettings on FBSSceneSettings
2026-02-21 01:06:37.487127+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x107005f50> for initial
2026-02-21 01:06:37.487311+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationSettings> on FBSSceneSettings
2026-02-21 01:06:37.487359+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x107005f50> for CADisplay KVO
2026-02-21 01:06:37.487396+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationClientSettings> on FBSSceneClientSettings
2026-02-21 01:06:37.487602+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingEventDeferringSettings> on FBSSceneSettings
2026-02-21 01:06:37.487767+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneSettings
2026-02-21 01:06:37.487932+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneClientSettings
2026-02-21 01:06:37.488035+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingViewControllerPreferencePropagationClientSettings> on FBSSceneClientSettings
2026-02-21 01:06:37.488193+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneZoomTransitionSettings> on FBSSceneSettings
2026-02-21 01:06:37.488336+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 1, category name = (null)
2026-02-21 01:06:37.488524+0800 0x4c71a8   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneSettingsCore on FBSSceneSettings
2026-02-21 01:06:37.488561+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 0, category name = (null)
2026-02-21 01:06:37.488945+0800 0x4c71a8   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneClientSettingsCore on FBSSceneClientSettings
2026-02-21 01:06:37.491367+0800 0x4c71a8   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneSettings setting counterpart class: UIApplicationSceneSettings
2026-02-21 01:06:37.491712+0800 0x4c71a8   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneClientSettings setting counterpart class: UIApplicationSceneClientSettings
2026-02-21 01:06:37.491812+0800 0x4c71a8   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneTransitionContextCore on FBSSceneTransitionContext
2026-02-21 01:06:37.873732+0800 0x4c71a0   Activity    0x13ced32            54291  0    FlappyBird: (CoreFoundation) Updating Key-Value Observers Of Preferences
2026-02-21 01:06:37.881618+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] Registering for test daemon availability notify post.
2026-02-21 01:06:37.881725+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2026-02-21 01:06:37.881823+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2026-02-21 01:06:37.881909+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2026-02-21 01:06:37.882503+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 11; deactivation reasons: 1024 -> 3072; animating application lifecycle event: 0
2026-02-21 01:06:37.886008+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason removed: 10; deactivation reasons: 3072 -> 2048; animating application lifecycle event: 0
2026-02-21 01:06:37.886368+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:EventBus] Event Timing Profile for Touch: not found, path="/System/Library/EventTimingProfiles/Sim.Touch.plist"
2026-02-21 01:06:37.886405+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:EventBus] Event Timing Profile for Pencil: not found, path="/System/Library/EventTimingProfiles/Sim.Pencil.plist"
2026-02-21 01:06:37.886447+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:UpdateScheduler] Selected display: name=LCD (PurpleMain), id=1
2026-02-21 01:06:37.890011+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (libxpc.dylib) [com.apple.xpc:connection] [0x104d06c20] activating connection: mach=true listener=false peer=false name=com.apple.lsd.mapdb
2026-02-21 01:06:37.962508+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:2] Alloc com.apple.backboard.hid-services.xpc
2026-02-21 01:06:37.962589+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (libxpc.dylib) [com.apple.xpc:connection] [0x104c07a30] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-02-21 01:06:37.963178+0800 0x4c71a6   Default     0x0                  54291  0    FlappyBird: (BackBoardServices) [com.apple.BackBoard:EventDelivery] BKSHIDEventDeliveryManager - connection activation
2026-02-21 01:06:37.964551+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 5; deactivation reasons: 2048 -> 2080; animating application lifecycle event: 1
2026-02-21 01:06:37.964783+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Should send trait collection or coordinate space update, interface style 1 -> 1, <UIWindowScene: 0x104e18a70> (7DE0CD97-1F24-4F93-985B-7EBA5EFE2ACA)
2026-02-21 01:06:37.965198+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x104e18a70> (7DE0CD97-1F24-4F93-985B-7EBA5EFE2ACA)
2026-02-21 01:06:37.965283+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:HomeAffordanceObservation] Initializing: <_UIHomeAffordanceSceneNotifier: 0x600002903a30>; with scene: <UIWindowScene: 0x104e18a70>
2026-02-21 01:06:37.965348+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (BacklightServices) [com.apple.BacklightServices:scenes] 0x600000c35d70 setDelegate:<0x600000c34930 _UIBacklightEnvironment> hasDelegate:YES for environment:sceneID:com.example.FlappyBird-default
2026-02-21 01:06:37.965621+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x104e18a70> (7DE0CD97-1F24-4F93-985B-7EBA5EFE2ACA)
2026-02-21 01:06:37.965664+0800 0x4c7191   Default     0x0                  54291  1    FlappyBird: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x600002903c60] Initialized with scene: <UIWindowScene: 0x104e18a70>; behavior: <_UIEventDeferringBehavior_iOS: 0x6000002484a0>; availableForProcess: 1, systemShellManagesKeyboardFocus: 1
2026-02-21 01:06:37.966588+0800 0x4c71a6   Default     0x0                  54291  0    FlappyBird: (BackBoardServices) [com.apple.BackBoard:EventDelivery] BKSHIDEventObserver - connection activation
2026-02-21 01:06:37.966591+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (BackBoardServices) [com.apple.BackBoard:EventDelivery] policyStatus:<BKSHIDEventDeliveryPolicyObserver: 0x60000260ab80; process scope; status: target> was:none
2026-02-21 01:06:37.966643+0800 0x4c7191   Default     0x0                  54291  1    FlappyBird: (UIKitCore) [com.apple.UIKit:KeyWindow] Setting default evaluation strategy for UIUserInterfaceIdiomPhone to LastOneWins
2026-02-21 01:06:37.966663+0800 0x4c7191   Default     0x0                  54291  1    FlappyBird: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene target of keyboard event deferring environment did change: 1; scene: UIWindowScene: 0x104e18a70; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.example.FlappyBird-default
2026-02-21 01:06:37.966697+0800 0x4c7191   Default     0x0                  54291  1    FlappyBird: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x600002903c60] Scene target of event deferring environments did update: scene: 0x104e18a70; current systemShellManagesKeyboardFocus: 1; systemShellManagesKeyboardFocusForScene: 1; eligibleForRecordRemoval: 1;
2026-02-21 01:06:37.966713+0800 0x4c7191   Default     0x0                  54291  1    FlappyBird: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene became target of keyboard event deferring environment: UIWindowScene: 0x104e18a70; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.example.FlappyBird-default
2026-02-21 01:06:37.966728+0800 0x4c7191   Default     0x0                  54291  1    FlappyBird: (UIKitCore) [com.apple.UIKit:KeyWindow] Stack[KeyWindow] 0x600000c49080: Taking no further action for migration from LastOneWins -> SystemShellManaged as there are no scenes
2026-02-21 01:06:37.966742+0800 0x4c7191   Default     0x0                  54291  1    FlappyBird: (UIKitCore) [com.apple.UIKit:KeyWindow] Setting default evaluation strategy for UIUserInterfaceIdiomPhone to SystemShellManaged
2026-02-21 01:06:37.966774+0800 0x4c7191   Default     0x0                  54291  1    FlappyBird: (UIKitCore) [com.apple.UIKit:KeyWindow] Key window needs update: 0; currentKeyWindowScene: 0x0; evaluatedKeyWindowScene: 0x104e18a70; currentApplicationKeyWindow: 0x0; evaluatedApplicationKeyWindow: 0x0; reason: UIWindowScene: 0x104e18a70: Window scene became target of keyboard environment
2026-02-21 01:06:37.966892+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x104e18a70> (7DE0CD97-1F24-4F93-985B-7EBA5EFE2ACA)
2026-02-21 01:06:37.967047+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x104e18a70> (7DE0CD97-1F24-4F93-985B-7EBA5EFE2ACA)
2026-02-21 01:06:37.967593+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x104e18a70> (7DE0CD97-1F24-4F93-985B-7EBA5EFE2ACA)
2026-02-21 01:06:38.011726+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:Orientation] <UIWindowScene: 0x104e18a70> (7DE0CD97-1F24-4F93-985B-7EBA5EFE2ACA) Scene updated orientation preferences: none -> ( Pu )
2026-02-21 01:06:38.014379+0800 0x4c7191   Default     0x0                  54291  1    FlappyBird: (UIKitCore) [com.apple.UIKit:KeyWindow] Key window API is scene-level: YES
2026-02-21 01:06:38.014460+0800 0x4c7191   Default     0x0                  54291  1    FlappyBird: (UIKitCore) [com.apple.UIKit:KeyWindow] UIWindowScene: 0x104e18a70: Window became key in scene: UIWindow: 0x10702fbe0; contextId: 0x9313E411: reason: UIWindowScene: 0x104e18a70: Window requested to become key in scene: 0x10702fbe0
2026-02-21 01:06:38.014485+0800 0x4c7191   Default     0x0                  54291  1    FlappyBird: (UIKitCore) [com.apple.UIKit:KeyWindow] Key window needs update: 1; currentKeyWindowScene: 0x0; evaluatedKeyWindowScene: 0x104e18a70; currentApplicationKeyWindow: 0x0; evaluatedApplicationKeyWindow: 0x10702fbe0; reason: UIWindowScene: 0x104e18a70: Window requested to become key in scene: 0x10702fbe0
2026-02-21 01:06:38.014522+0800 0x4c7191   Default     0x0                  54291  1    FlappyBird: (UIKitCore) [com.apple.UIKit:KeyWindow] Window did become application key: UIWindow: 0x10702fbe0; contextId: 0x9313E411; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.example.FlappyBird-default
2026-02-21 01:06:38.014579+0800 0x4c7191   Default     0x0                  54291  1    FlappyBird: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x600002903c60] Begin local event deferring requested for token: 0x600002606b80; environments: 1; reason: UIWindowScene: 0x104e18a70: Begin event deferring in keyboardFocus for window: 0x10702fbe0
2026-02-21 01:06:38.015626+0800 0x4c71a6   Default     0x0                  54291  0    FlappyBird: (BackBoardServices) [com.apple.BackBoard:EventDelivery] policyStatus:<BKSHIDEventDeliveryPolicyObserver: 0x60000260ab80; token: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.example.FlappyBird-default; status: ancestor> was:target
2026-02-21 01:06:38.015693+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x104e18a70> (7DE0CD97-1F24-4F93-985B-7EBA5EFE2ACA)
2026-02-21 01:06:38.016175+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:AppLifecycle] sceneOfRecord: sceneID: sceneID:com.example.FlappyBird-default  persistentID: 7DE0CD97-1F24-4F93-985B-7EBA5EFE2ACA
2026-02-21 01:06:38.016344+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:Application] Ignoring already applied deactivation reason: 5; deactivation reasons: 2080
2026-02-21 01:06:38.016375+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 12; deactivation reasons: 2080 -> 6176; animating application lifecycle event: 1
2026-02-21 01:06:38.016440+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason removed: 11; deactivation reasons: 6176 -> 4128; animating application lifecycle event: 1
2026-02-21 01:06:38.016518+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneIntelligenceSupportSettings> on FBSSceneSettings
2026-02-21 01:06:38.016762+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (UIIntelligenceSupport) [com.apple.UIIntelligenceSupport:xpc] establishing connection to agent
2026-02-21 01:06:38.017057+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x104e18a70> (7DE0CD97-1F24-4F93-985B-7EBA5EFE2ACA)
2026-02-21 01:06:38.017099+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (libxpc.dylib) [com.apple.xpc:session] [0x60000210bb10] Session created.
2026-02-21 01:06:38.017107+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (libxpc.dylib) [com.apple.xpc:session] [0x60000210bb10] Session created from connection [0x104d0f300]
2026-02-21 01:06:38.017123+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (libxpc.dylib) [com.apple.xpc:connection] [0x104d0f300] activating connection: mach=true listener=false peer=false name=com.apple.uiintelligencesupport.agent
2026-02-21 01:06:38.017203+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (libxpc.dylib) [com.apple.xpc:session] [0x60000210bb10] Session activated
2026-02-21 01:06:38.019194+0800 0x4c7191   Activity    0x13ced33            54291  0    FlappyBird: (CoreFoundation) Updating Key-Value Observers Of Preferences
2026-02-21 01:06:38.036879+0800 0x4c7191   Error       0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:UIFocus] _TtC18_SpriteKit_SwiftUIP33_4A29C38A751B2448A1E2FA85CDDEAA5324SpriteKitViewCoordinator implements focusItemsInRect: - caching for linear focus movement is limited as long as this view is on screen.
2026-02-21 01:06:38.049806+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (libxpc.dylib) [com.apple.xpc:connection] [0x107117120] activating connection: mach=true listener=false peer=false name=com.apple.metal.simulator
2026-02-21 01:06:38.050767+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (libxpc.dylib) [com.apple.xpc:connection] [0x104e07cc0] activating connection: mach=true listener=false peer=false name=com.apple.metal.simulator
2026-02-21 01:06:38.051018+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (libxpc.dylib) [com.apple.xpc:connection] [0x107117b90] activating connection: mach=true listener=false peer=false name=com.apple.metal.simulator
2026-02-21 01:06:38.075518+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (libxpc.dylib) [com.apple.xpc:connection] [0x104e138d0] activating connection: mach=true listener=false peer=false name=com.apple.IOSurface.Remote
2026-02-21 01:06:38.090785+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (Network) [com.apple.network:activity] Create activity from XPC object <nw_activity 50:1 [D6C228A2-225E-4FB4-93A2-29EC487C779B] (reporting strategy default)>
2026-02-21 01:06:38.090799+0800 0x4c71a0   Activity    0x13ced34            54291  0    FlappyBird: (RunningBoardServices) didChangeInheritances
2026-02-21 01:06:38.090825+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (Network) [com.apple.network:activity] Create activity from XPC object <nw_activity 50:2 [8EF753BA-183C-4B4B-8316-BE101AE11D59] (reporting strategy default)>
2026-02-21 01:06:38.090838+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (Network) [com.apple.network:activity] Set activity <nw_activity 50:1 [D6C228A2-225E-4FB4-93A2-29EC487C779B] (reporting strategy default)> as the global parent
